ModuleField,HelpField,HelpID,PageHelpID,FieldType
Browser+Filename,Browser+Browser+fILENAME,3029,2005,File
Browser+Page Number,Browser+Browser+PageNo,3030,2005,Edit
Browser+Web Browser,Browser+Browser+WebBrowse,3035,2005,Button
Browser+Set Font,Browser+Browser+Font,3034,2005,Button
Browser+Edit,Browser+Browser+Edit,3033,2005,Button
Browser+Delete,Browser+Browser+Delete,3032,2005,Button
Browser+Print,Browser+Browser+Print,3031,2005,Button
Browser+Quit,Browser+Button+Quit,3027,2005,Button
Set_Font,Set_Font,0,2006,Dialog
Set_Font+Font Style,Set_Font+Set_Font+FontStyle,3038,2006,Options
Set_Font+Font Size,Set_Font+Set_Font+FontSize,3039,2006,Options
Set_Font+OK,Set_Font+Button+OK,3037,2006,Button
Set_Font+Cancel,Set_Font+Button+Cancel,3036,2006,Button
Print_Dialog,Print_Dialog,0,2007,Dialog
Print_Dialog+Select Printer,Print_Dialog+Print_Dialog+Printer,3041,2007,Combo
Print_Dialog+Printout Options,Print_Dialog+Print_Dialog+PrintOpt,3042,2007,Options
Print_Dialog+from,Print_Dialog+Print_Dialog+Pages,3043,2007,Edit
Print_Dialog+to,Print_Dialog+Print_Dialog+Pages,3043,2007,Edit
Print_Dialog+Printer Orientation,Print_Dialog+Print_Dialog+orientation,3044,2007,Options
Print_Dialog+Top Margin,Print_Dialog+Print_Dialog+Margins,3045,2007,Edit
Print_Dialog+Left Margin,Print_Dialog+Print_Dialog+Margins,3045,2007,Edit
Print_Dialog+Font Style,Print_Dialog+Print_Dialog+FontStyle,3046,2007,Options
Print_Dialog+Font Size,Print_Dialog+Print_Dialog+FontSize,3047,2007,Options
Print_Dialog+Print,Print_Dialog+Print_Dialog+Print,3048,2007,Button
Print_Dialog+Quit,Print_Dialog+Button+Quit,3040,2007,Button
Comment_Edit,Comment_Edit,0,2008,Dialog
Comment_Edit+Text,Comment_Edit+Comment_Edit+Text,3051,2008,Multi
Comment_Edit+OK,Comment_Edit+Button+OK,3050,2008,Button
Comment_Edit+Cancel,Comment_Edit+Button+Cancel,3049,2008,Button
Comment_View,Comment_View,0,2009,Dialog
Comment_View+Parameter,Comment_View+Comment_View+dESC,3053,2009,F1SS
Comment_View+Row,Comment_View+Comment_View+rOW,3054,2009,F1SS
Comment_View+Comment,Comment_View+Comment_View+cOMM,3055,2009,F1SS
Comment_View+User,Comment_View+Comment_View+uSeR,3056,2009,F1SS
Comment_View+Timestamp,Comment_View+Comment_View+tS,3057,2009,F1SS
Comment_View+Grid Help,ADDING_DELETING_COLUMNS.HTM,3058,2009,F1SSHelp
Comment_View+Grid Help,GRID_EDITING_OPTIONS.HTM,3059,2009,F1SSHelp
Comment_View+Cancel,Comment_View+Button+Cancel,3052,2009,Button
Client+Files,Client+Files,0,2010,Page
Client+Files+Scheme Name,Client_Files+Client+ClientName,3062,2010,Edit
Client+Files+Yield Curve Files Folder,Client_Files+Client+Folders,3063,2010,Folder
Client+Files+Output Files  Folder,Client_Files+Client+Folders,3063,2010,Folder
Client+Files+Consolidation Results File Folder,Client_Files+Client+Folders,3063,2010,Folder
Client+Files+S21 Migration Required,Client_Files+Client+S21Migrate,3064,2010,Check
Client+Files+Superval/21 Migration Folder,Client_Files+Migration+MigrateFolder,3065,2010,Folder
Client+Files+Mortality Improvement Files,Client_Files+Client+csvType,3066,2010,Combo
Client+Files+Mortality Improvement Files Folder,Client_Files+Client+Folders,3063,2010,Folder
Client+Files+Scheme Level Parameter File,Client_Files+FILES+clientFile,3067,2010,Combo
Client+Files+Scheme Basis Parameter File,Client_Files+Basis_Migration+basisFile,3068,2010,Combo
Client_Files+Save,Client+Button+SaveOne,3061,2010,Button
Client_Files+Quit,Client+Button+Quit,3060,2010,Button
Client+Data,Client+Data,0,2011,Page
Client+Data+Current Valuation Date,Client_Data+Client+vDATE,3069,2011,Date
Client+Data+Previous Valuation Date,Client_Data+Client+pvDATE,3070,2011,Date
Client+Data+Main Actives Data File,Client_Data+Client+Actsfile,3071,2011,File
Client+Data+Format of Main Actives Data File,Client_Data+Client+FormatA,3072,2011,Combo
Client+Data+Main Deferreds Data File,Client_Data+Client+Defsfile,3073,2011,File
Client+Data+Format of Main Deferreds Data File,Client_Data+Client+FormatD,3074,2011,Combo
Client+Data+Main Pensioners Data File,Client_Data+Client+Pensfile,3075,2011,File
Client+Data+Format of Main Pensioners Data File,Client_Data+Client+FormatP,3076,2011,Combo
Client_Data+Save,Client+Button+SaveOne,3061,2011,Button
Client_Data+Quit,Client+Button+Quit,3060,2011,Button
Client+ValnOptions,Client+ValnOptions,0,2012,Page
Client+ValnOptions+PPF Calculations required,Client_ValnOptions+Client+PPFenabled,3077,2012,Check
Client+ValnOptions+Non-PPF Capped Calculations required,Client_ValnOptions+Client+CAPenabled,3078,2012,Check
Client+ValnOptions+Value Pre 1988 GMPs for Male Spouse Pensioners,Client_ValnOptions+Client+ValuePre88MS,3079,2012,Check
Client+ValnOptions+Use single character Basis Category when Saving Bases,Client_ValnOptions+Client+UseBasisCat,3080,2012,Check
Client+ValnOptions+Analysis of Surplus Calculations required,Client_ValnOptions+Client+AOSenabled,3081,2012,Check
Client+ValnOptions+Separate Cash Commutation and Cash on Top,Client_ValnOptions+Client+SepComCot,3082,2012,Check
Client+ValnOptions+Include Individual Valuation Factors,Client_ValnOptions+Client+IncIndivVF,3083,2012,Check
Client+ValnOptions+Indicate if Cash Commutation split by Pension Increase is required,Client_ValnOptions+Client+SplitCombyPI,3084,2012,Check
Client+ValnOptions+Include Year Left Service dimension,Client_ValnOptions+Client+hldii,3085,2012,Check
Client+ValnOptions+Use Control Period for Upper Limit of Future Service Breakdown Ranges,Client_ValnOptions+Client+cpbreakdown,3086,2012,Check
Client+ValnOptions+Upper Limits of Future Service Breakdown Ranges,Client_ValnOptions+Client+fsbreakdown,3087,2012,Edit
Client+ValnOptions+Output Separate Cash Flows for Spouse,Client_ValnOptions+Client+spousecf,3088,2012,Check
Client_ValnOptions+Save,Client+Button+SaveOne,3061,2012,Button
Client_ValnOptions+Quit,Client+Button+Quit,3060,2012,Button
Client+SQLDatabase,Client+SQLDatabase,0,2013,Page
Client+SQLDatabase+Use an SQL Server Database,Client_SQLDatabase+Client+SQLDatabase,3089,2013,Check
Client+SQLDatabase+SQL Server Database Name,Client_SQLDatabase+Client+SQLDBName,3090,2013,Combo
Client+SQLDatabase+Scheme Task,Client_SQLDatabase+Client+SQLDBScheme,3091,2013,Listview
Client+SQLDatabase+Add New Scheme,Client_SQLDatabase+Client+Add,3092,2013,Button
Client+SQLDatabase+Use "local" UNC Folder (if SQL Server is installed locally),Client_SQLDatabase+Client+SQLlocalUNC,3093,2013,Check
Client+SQLDatabase+Set UNC Folder manually,Client_SQLDatabase+Client+SQLsetUNC,3094,2013,Check
Client+SQLDatabase+UNC of Input Data  Files Folder,Client_SQLDatabase+Client+InputDirUNC,3095,2013,Edit
Client_SQLDatabase+Save,Client+Button+SaveOne,3061,2013,Button
Client_SQLDatabase+Quit,Client+Button+Quit,3060,2013,Button
Fix_File,Fix_File,0,2014,Dialog
Fix_File+Input Data File,Fix_File+FILES+InputFile,3099,2014,File
Fix_File+Input Data Type,Fix_File+Fix_File+last,3100,2014,Combo
Fix_File+Fixed Input Data File,Fix_File+FILES+OutputFile,3101,2014,File
Fix_File+Delete Multiple Blank Columns,Fix_File+Fix_File+dataind,3102,2014,Check
Fix_File+Limit Number of Records in Fixed File,Fix_File+Fix_File+NUMRECS,3103,2014,Edit
Fix_File+Run,Fix_File+Button+Run,3098,2014,Button
Fix_File+Save,Fix_File+Button+SaveOne,3097,2014,Button
Fix_File+Quit,Fix_File+Button+Quit,3096,2014,Button
Data_Merge,Data_Merge,0,2015,Dialog
Data_Merge+Current Input Data File,Data_Merge+Data_Merge+curr,3108,2015,Combo
Data_Merge+Previous Input Data File,Data_Merge+Data_Merge+prev,3109,2015,Combo
Data_Merge+Input Data Type,Data_Merge+Data_Merge+datatype,3110,2015,Combo
Data_Merge+Merged Output Data File,Data_Merge+Data_Merge+mrgd,3111,2015,Combo
Data_Merge+Run,Data_Merge+Button+Run,3107,2015,Button
Data_Merge+SaveAs,Data_Merge+Button+SaveAs,3106,2015,Button
Data_Merge+Save,Data_Merge+Button+SaveOne,3105,2015,Button
Data_Merge+Quit,Data_Merge+Button+Quit,3104,2015,Button
Data_Build+Data,Data_Build+Data,0,2016,WizardFrame
Data_Build+Data Build Source File,Data_Build+Data_Build+FILE,3115,2016,Combo
Data_Build+Data Build Source File,Data_Build+Data_Build+xlFILE,3116,2016,Combo
Data_Build+Excel Sheet Name,Data_Build+Data_Build+xlSHEET,3117,2016,Combo
Data_Build+Format of Source File,Data_Build+Data_Build+ExpFormat,3118,2016,Combo
Data_Build+Input Type,Data_Build_Wizard+Data_Build+membtype,3119,2016,Options
Data_Build+Using Grouped Data or will use the New Entrant Replacement Model,Data_Build+Data_Build+grouped,3120,2016,Check
Data_Build+Allow SuperVal to "guess" some suggested Standard Field mappings,Data_Build+Data_Build+useguess,3121,2016,Check
Data_Build+Edit Source File,Data_Build+Data_Build+Edit,3122,2016,Button
Data_Build+Import Field Mappings,Data_Build+Data_Build+Import,3123,2016,Button
Data_Build_Data+Back,Data_Build+Button+Back,3114,2016,Button
Data_Build_Data+Next,Data_Build+Button+Next,3113,2016,Button
Data_Build_Data+Cancel,Data_Build+Button+Cancel,3112,2016,Button
Data_Build+Fields,Data_Build+Fields,0,2017,WizardFrame
Data_Build+Standard Fields in Data Source,Data_Build+Data_Build+Standard,3124,2017,Listview
Data_Build+Remove Mapped Field,Data_Build+Data_Build+Remove,3125,2017,Button
Data_Build+User-Defined Fields in Data Source,Data_Build+Data_Build+UserDefined,3126,2017,Listview
Data_Build+Standard Fields Not Present,Data_Build+Data_Build+Excluded,3127,2017,Listview
Data_Build+Change Data Field Type,Data_Build+Data_Build+Change,3128,2017,Button
Data_Build+Map Field as Standard,Data_Build+Data_Build+Add,3129,2017,Button
Data_Build+Payment Frequency,Data_Build_Wizard+Data_Build+freq,3130,2017,Options
Data_Build+Include Warnings of Blank Numeric Fields,Data_Build+Data_Build+blankwarning,3131,2017,Check
Data_Build+Edit Source File,Data_Build+Data_Build+Edit,3122,2017,Button
Data_Build_Fields+Back,Data_Build+Button+Back,3114,2017,Button
Data_Build_Fields+Next,Data_Build+Button+Next,3113,2017,Button
Data_Build_Fields+Cancel,Data_Build+Button+Cancel,3112,2017,Button
Data_Build+Report,Data_Build+Report,0,2018,WizardFrame
Data_Build+Validation Report,Data_Build+Data_Build+Results,3132,2018,Multi
Data_Build+Edit Source File,Data_Build+Data_Build+Edit,3122,2018,Button
Data_Build_Report+Back,Data_Build+Button+Back,3114,2018,Button
Data_Build_Report+Next,Data_Build+Button+Next,3113,2018,Button
Data_Build_Report+Cancel,Data_Build+Button+Cancel,3112,2018,Button
Data_Build+CheckSum,Data_Build+CheckSum,0,2019,WizardFrame
Data_Build+Checksums of Numeric Fields,Data_Build+Data_Build+Sums,3133,2019,Listview
Data_Build+Save Checksums,Data_Build+Data_Build+Save,3134,2019,Button
Data_Build_CheckSum+Back,Data_Build+Button+Back,3114,2019,Button
Data_Build_CheckSum+Next,Data_Build+Button+Next,3113,2019,Button
Data_Build_CheckSum+Cancel,Data_Build+Button+Cancel,3112,2019,Button
DBW_ChangeType,DBW_ChangeType,0,2020,Dialog
DBW_ChangeType+Input Data Type,DBW_ChangeType+DBW_ChangeType+DataType,3137,2020,Combo
DBW_ChangeType+Date Format,DBW_ChangeType+DBW_ChangeType+dateFmt,3138,2020,Edit
DBW_ChangeType+Numeric Type,DBW_ChangeType+DBW_ChangeType+NumericType,3139,2020,Combo
DBW_ChangeType+Data Field is averaged (must be multiplied by Number of Members),DBW_ChangeType+DBW_ChangeType+averaged,3140,2020,Check
DBW_ChangeType+OK,DBW_ChangeType+Button+OK,3136,2020,Button
DBW_ChangeType+Cancel,DBW_ChangeType+Button+Cancel,3135,2020,Button
ActFormat+Current,ActFormat+Current,0,2021,Page
ActFormat+Current+Last Column (lCol),ActFormat_Current+Format+RECL,3144,2021,Edit
ActFormat+Current+Salary Frequency,ActFormat_Current+ActFormat+salfreq,3145,2021,Combo
ActFormat+Current+No Of Members (NOM),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Member's Name (NAME),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Sex (SEX),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Category (CAT),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Date Of Birth (DOB),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Format,ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+DoJ Company (DJS),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Format,ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+DoJ Scheme (DJF),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Format,ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Mode of Exit (MOE),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Date of Exit (DOE),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Format,ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Lump Sum Benefit on Exit (BOE),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Previous Salary (PSAL),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Current Salary (SAL),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Acc Conts (ACW),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Acc Conts without Interest (ACWO),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Acc Employer Conts without Interest (EACWO),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Pre 1988 GMP (GMP0),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat+Current+Post 1988 GMP (GMPE0),ActFormat_Current+Format+Columns,3146,2021,Format
ActFormat_Current+Migrate,ActFormat+Format+Import,3157,2021,Button
ActFormat_Current+Display,ActFormat+Button+Display,3156,2021,Button
ActFormat_Current+SaveAs,ActFormat+Button+SaveAs,3143,2021,Button
ActFormat_Current+Save,ActFormat+Button+SaveOne,3142,2021,Button
ActFormat_Current+Quit,ActFormat+Button+Quit,3141,2021,Button
ActFormat+Previous,ActFormat+Previous,0,2022,Page
ActFormat+Previous+No Of Members (#NOM),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Member's Name (#NAME),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Sex (#SEX),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Category (#CAT),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Date Of Birth (#DOB),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Format,ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+DoJ Company (#DJS),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Format,ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+DoJ Scheme (#DJF),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Format,ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Mode of Exit (#MOE),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Date of Exit (#DOE),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Format,ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Lump Sum Benefit on Exit (#BOE),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Previous Previous Salary (#PSAL),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Previous Current Salary (#SAL),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Previous Acc Conts (#ACW),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Previous Acc Conts without Interest (#ACWO),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Previous Acc Employer Conts without Interest (#EACWO),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Previous Pre 1988 GMP (#GMP0),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat+Previous+Previous Post 1988 GMP (#GMPE0),ActFormat_Previous+Format+Columns,3146,2022,Format
ActFormat_Previous+Migrate,ActFormat+Format+Import,3157,2022,Button
ActFormat_Previous+Display,ActFormat+Button+Display,3156,2022,Button
ActFormat_Previous+SaveAs,ActFormat+Button+SaveAs,3143,2022,Button
ActFormat_Previous+Save,ActFormat+Button+SaveOne,3142,2022,Button
ActFormat_Previous+Quit,ActFormat+Button+Quit,3141,2022,Button
ActFormat_Previous+Migrate,ActFormat+Format+Import,3157,2022,Button
ActFormat_Previous+Display,ActFormat+Button+Display,3156,2022,Button
ActFormat_Previous+SaveAs,ActFormat+Button+SaveAs,3143,2022,Button
ActFormat_Previous+Save,ActFormat+Button+SaveOne,3142,2022,Button
ActFormat_Previous+Quit,ActFormat+Button+Quit,3141,2022,Button
ActFormat+Non_Standard,ActFormat+Non_Standard,0,2023,Page
ActFormat+Non_Standard+Variable Name,ActFormat_Non_Standard+ActFormat+NonSVarName,3147,2023,F1SSCol
ActFormat+Non_Standard+Current From,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+Current To,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+Previous From,ActFormat_Non_Standard+ActFormat+pNonSFromTo,3149,2023,F1SSCol
ActFormat+Non_Standard+Previous To,ActFormat_Non_Standard+ActFormat+pNonSFromTo,3149,2023,F1SSCol
ActFormat+Non_Standard+Description,ActFormat_Non_Standard+ActFormat+NonSDesc,3150,2023,F1SSCol
ActFormat+Grid Help,ADDING_DELETING_COLUMNS.HTM,3058,2023,F1SSHelp
ActFormat+Grid Help,GRID_EDITING_OPTIONS.HTM,3059,2023,F1SSHelp
ActFormat+Non_Standard+Variable Name,ActFormat_Non_Standard+ActFormat+NonSVarName,3147,2023,F1SSCol
ActFormat+Non_Standard+Current From,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+Current To,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+Previous From,ActFormat_Non_Standard+ActFormat+pNonSFromTo,3149,2023,F1SSCol
ActFormat+Non_Standard+Previous To,ActFormat_Non_Standard+ActFormat+pNonSFromTo,3149,2023,F1SSCol
ActFormat+Non_Standard+Description,ActFormat_Non_Standard+ActFormat+NonSDesc,3150,2023,F1SSCol
ActFormat+Grid Help,ADDING_DELETING_COLUMNS.HTM,3058,2023,F1SSHelp
ActFormat+Grid Help,GRID_EDITING_OPTIONS.HTM,3059,2023,F1SSHelp
ActFormat+Non_Standard+Variable Name,ActFormat_Non_Standard+ActFormat+NonSVarName,3147,2023,F1SSCol
ActFormat+Non_Standard+From,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+To,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+Description,ActFormat_Non_Standard+ActFormat+NonSDesc,3150,2023,F1SSCol
ActFormat+Grid Help,ADDING_DELETING_COLUMNS.HTM,3058,2023,F1SSHelp
ActFormat+Grid Help,GRID_EDITING_OPTIONS.HTM,3059,2023,F1SSHelp
ActFormat+Non_Standard+Variable Name,ActFormat_Non_Standard+ActFormat+NonSVarName,3147,2023,F1SSCol
ActFormat+Non_Standard+From,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+To,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+Date Format,ActFormat_Non_Standard+ActFormat+NonSFromTo,3148,2023,F1SSCol
ActFormat+Non_Standard+Description,ActFormat_Non_Standard+ActFormat+NonSDesc,3150,2023,F1SSCol
ActFormat+Grid Help,ADDING_DELETING_COLUMNS.HTM,3058,2023,F1SSHelp
ActFormat+Grid Help,GRID_EDITING_OPTIONS.HTM,3059,2023,F1SSHelp
ActFormat_Non_Standard+Migrate,ActFormat+Format+Import,3157,2023,Button
ActFormat_Non_Standard+Display,ActFormat+Button+Display,3156,2023,Button
ActFormat_Non_Standard+SaveAs,ActFormat+Button+SaveAs,3143,2023,Button
ActFormat_Non_Standard+Save,ActFormat+Button+SaveOne,3142,2023,Button
ActFormat_Non_Standard+Quit,ActFormat+Button+Quit,3141,2023,Button
ActFormat+Validation,ActFormat+Validation,0,2024,Page
ActFormat+Validation+Import Validation Ranges,ActFormat_Validation+Button+GetValid,3151,2024,Button
ActFormat+Validation+Category,ActFormat_Validation+Format+Category,3152,2024,F1SSRow
ActFormat+Validation+Min. Age (Male),ActFormat_Validation+ActFormat+AgeRange,3153,2024,F1SSRow
ActFormat+Validation+Max. Age (Male),ActFormat_Validation+ActFormat+AgeRange,3153,2024,F1SSRow
ActFormat+Validation+Min. Age (Female),ActFormat_Validation+ActFormat+AgeRange,3153,2024,F1SSRow
ActFormat+Validation+Max. Age (Female),ActFormat_Validation+ActFormat+AgeRange,3153,2024,F1SSRow
ActFormat+Validation+Min. Salary,ActFormat_Validation+ActFormat+SalRange,3154,2024,F1SSRow
ActFormat+Validation+Max. Salary,ActFormat_Validation+ActFormat+SalRange,3154,2024,F1SSRow
ActFormat+Grid Help,ADDING_DELETING_ROWS.HTM,3155,2024,F1SSHelp
ActFormat+Grid Help,GRID_EDITING_OPTIONS.HTM,3059,2024,F1SSHelp
ActFormat_Validation+Migrate,ActFormat+Format+Import,3157,2024,Button
ActFormat_Validation+Display,ActFormat+Button+Display,3156,2024,Button
ActFormat_Validation+SaveAs,ActFormat+Button+SaveAs,3143,2024,Button
ActFormat_Validation+Save,ActFormat+Button+SaveOne,3142,2024,Button
ActFormat_Validation+Quit,ActFormat+Button+Quit,3141,2024,Button
DefFormat+Current,DefFormat+Current,0,2025,Page
DefFormat+Current+Last Column (lCol),DefFormat_Current+Format+RECL,3161,2025,Edit
DefFormat+Current+PUP Frequency,DefFormat_Current+DefFormat+pupfreq,3162,2025,Combo
DefFormat+Current+No Of Members (NOM),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Deferred's Name (NAME),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Sex (SEX),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Category (CAT),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Type of PUP (TOP),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Date Of Birth (DOB),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Format,DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Leaving Service Date (LD),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Format,DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Mode Ceased Deferral (MOE),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Date Ceased Deferral (DOE),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Format,DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Lump Sum Benefit on Exit (BOE),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Underpin (ACW),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Pre 1988 GMP (GMP0),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat+Current+Post 1988 GMP (GMPE0),DefFormat_Current+Format+Columns,3163,2025,Format
DefFormat_Current+Migrate,DefFormat+Format+Import,3172,2025,Button
DefFormat_Current+Display,DefFormat+Button+Display,3171,2025,Button
DefFormat_Current+SaveAs,DefFormat+Button+SaveAs,3160,2025,Button
DefFormat_Current+Save,DefFormat+Button+SaveOne,3159,2025,Button
DefFormat_Current+Quit,DefFormat+Button+Quit,3158,2025,Button
DefFormat+Previous,DefFormat+Previous,0,2026,Page
DefFormat+Previous+No Of Members (#NOM),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Deferred's Name (#NAME),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Sex (#SEX),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Category (#CAT),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Type of PUP (#TOP),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Date Of Birth (#DOB),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Format,DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Leaving Service Date (#LD),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Format,DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Mode Ceased Deferral (#MOE),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Date Ceased Deferral (#DOE),DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Format,DefFormat_Previous+Format+Columns,3163,2026,Format
DefFormat+Previous+Lump Sum Benefit on Exit (#BOE),DefFormat_Previous+Format+Columns,3163,2026,Format
