Module,Object,Desc,Escalation Type,SSMale,SSFemale,Timing,RevDate,AgeMale,AgeFemale,Revaluation,Increase,Escalation,row,Comments
Actives,AltFIXPEN1,Alternate Slice Tier 1 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,39,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,AltMINPEN1,Alternate Slice Tier 1 Minimum Pension,None, , , , , , , , , ,40, 
Actives,AltMAXPEN1,Alternate Slice Tier 1 Maximum Pension,None, , , , , , , , , ,41, 
Actives,AltPENADJ1,Alternate Slice Tier 1 Pension Adjustment Factor,None, , , , , , , , , ,42, 
Actives,m_AltPPFADJ1,Alternate Slice Tier 1 Male PPF Adjustment Factor,None, , , , , , , , , ,43, 
Actives,f_AltPPFADJ1,Alternate Slice Tier 1 Female PPF Adjustment Factor,None, , , , , , , , , ,44, 
Actives,AltACCDATA2,Alternate Slice Tier 2 Accrual Rate [Data Item],None, , , , , , , , , ,45, 
Actives,AltFIXPEN2,Alternate Slice Tier 2 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,46,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,AltMINPEN2,Alternate Slice Tier 2 Minimum Pension,None, , , , , , , , , ,47, 
Actives,AltMAXPEN2,Alternate Slice Tier 2 Maximum Pension,None, , , , , , , , , ,48, 
Actives,AltPENADJ2,Alternate Slice Tier 2 Pension Adjustment Factor,None, , , , , , , , , ,49, 
Actives,m_AltPPFADJ2,Alternate Slice Tier 2 Male PPF Adjustment Factor,None, , , , , , , , , ,50, 
Actives,f_AltPPFADJ2,Alternate Slice Tier 2 Female PPF Adjustment Factor,None, , , , , , , , , ,51, 
Actives,AltACCDATA3,Alternate Slice Tier 3 Accrual Rate [Data Item],None, , , , , , , , , ,52, 
Actives,AltFIXPEN3,Alternate Slice Tier 3 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,53,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,AltMINPEN3,Alternate Slice Tier 3 Minimum Pension,None, , , , , , , , , ,54, 
Actives,AltMAXPEN3,Alternate Slice Tier 3 Maximum Pension,None, , , , , , , , , ,55, 
Actives,AltPENADJ3,Alternate Slice Tier 3 Pension Adjustment Factor,None, , , , , , , , , ,56, 
Actives,m_AltPPFADJ3,Alternate Slice Tier 3 Male PPF Adjustment Factor,None, , , , , , , , , ,57, 
Actives,f_AltPPFADJ3,Alternate Slice Tier 3 Female PPF Adjustment Factor,None, , , , , , , , , ,58, 
Actives,m_WARFRAC,Males Spouse's Reversion,None, , , , , , , , , ,59, 
Actives,f_WARFRAC,Females Spouse's Reversion,None, , , , , , , , , ,60, 
Actives,COMMULT,Retirement Cash Multiple,None, , , , , , , , , ,61, 
Actives,COMPER,Retirement Cash Proportion,None, , , , , , , , , ,62, 
Actives,COMMULT2,Retirement Cash on Top Multiple,None, , , , , , , , , ,63, 
Actives,COMPER2,Retirement Cash on Top Proportion,None, , , , , , , , , ,64, 
Actives,m_WOFRAC,Males DIS Benefit Percentage,None, , , , , , , , , ,65, 
Actives,f_WOFRAC,Females DIS Benefit Percentage,None, , , , , , , , , ,66, 
Actives,ILLCOMMULT,Ill-Health Cash Cash Multiple,None, , , , , , , , , ,67, 
Actives,ILLCOMPER,Ill-Health Cash Cash Percentage,None, , , , , , , , , ,68, 
Actives,ILLCOMMULT2,Ill-Health Cash on Top Multiple,None, , , , , , , , , ,69, 
Actives,ILLCOMPER2,Ill-Health Cash on Top Percentage,None, , , , , , , , , ,70, 
Actives,PHIOffset,Initial PHI Offset Amount,Inflation, , , , , , , , ,SALREV,71, 
Actives,IndADDYRS,Independent Slice Added Years,None, , , , , , , , , ,72, 
Actives,m_IndPayStart,Independent Slice Male Payment Start Age,None, , , , , , , , , ,73, 
Actives,f_IndPayStart,Independent Slice Female Payment Start Age,None, , , , , , , , , ,74, 
Actives,m_IndPayEnd,Independent Slice Male Payment End Age,None, , , , , , , , , ,75, 
Actives,f_IndPayEnd,Independent Slice Female Payment End Age,None, , , , , , , , , ,76, 
Actives,IndACCDATA1,Independent Slice Tier 1 Accrual Rate [Data Item],None, , , , , , , , , ,77, 
Actives,IndFIXPEN1,Independent Slice Tier 1 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,78,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,IndMINPEN1,Independent Slice Tier 1 Minimum Pension,None, , , , , , , , , ,79, 
Actives,IndMAXPEN1,Independent Slice Tier 1 Maximum Pension,None, , , , , , , , , ,80, 
Actives,m_IndPPFADJ1,Independent Slice Tier 1 Male PPF Adjustment Factor,None, , , , , , , , , ,81, 
Actives,f_IndPPFADJ1,Independent Slice Tier 1 Female PPF Adjustment Factor,None, , , , , , , , , ,82, 
Actives,IndACCDATA2,Independent Slice Tier 2 Accrual Rate [Data Item],None, , , , , , , , , ,83, 
Actives,IndFIXPEN2,Independent Slice Tier 2 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,84,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,IndMINPEN2,Independent Slice Tier 2 Minimum Pension,None, , , , , , , , , ,85, 
Actives,IndMAXPEN2,Independent Slice Tier 2 Maximum Pension,None, , , , , , , , , ,86, 
Actives,m_IndPPFADJ2,Independent Slice Tier 2 Male PPF Adjustment Factor,None, , , , , , , , , ,87, 
Actives,f_IndPPFADJ2,Independent Slice Tier 2 Female PPF Adjustment Factor,None, , , , , , , , , ,88, 
Actives,IndACCDATA3,Independent Slice Tier 3 Accrual Rate [Data Item],None, , , , , , , , , ,89, 
Actives,IndFIXPEN3,Independent Slice Tier 3 Fixed Pension [Data Item],If CARE, , , , , , , , ,SALREV,90,CARE Revaln (SALREV) if Benefit Basis (ACCBSAIS) is CARE
Actives,IndMINPEN3,Independent Slice Tier 3 Minimum Pension,None, , , , , , , , , ,91, 
Actives,IndMAXPEN3,Independent Slice Tier 3 Maximum Pension,None, , , , , , , , , ,92, 
Actives,m_IndPPFADJ3,Independent Slice Tier 3 Male PPF Adjustment Factor,None, , , , , , , , , ,93, 
Actives,f_IndPPFADJ3,Independent Slice Tier 3 Female PPF Adjustment Factor,None, , , , , , , , , ,94, 
Actives,contsAdditCR,Member Additional Cont. Rate (%),None, , , , , , , , , ,95, 
Actives,V1pcAdditCR,Company Additional Cont. Rate (%),None, , , , , , , , , ,96, 
Actives,mpuAdditCR,Underpin Additional Cont. Rate (%),None, , , , , , , , , ,97, 
Actives,UDATA,Initial Underpin Amount,Interest, , , , , , , , ,jmpu,98, 
Deferreds,OFFCAP,Cap Offset,None, , , , , , , , , ,99, 
Deferreds,m_DPREMEMB,Male Member % Rating,None, , , , , , , , , ,100, 
Deferreds,f_DPREMEMB,Female Member % Rating,None, , , , , , , , , ,101, 
Deferreds,m_DPOSTMEMB,Male Member Individual % Rating,None, , , , , , , , , ,102, 
Deferreds,f_DPOSTMEMB,Female Member Individual % Rating,None, , , , , , , , , ,103, 
Deferreds,m_SDPOSTMEMB,Male Member's Spouse/Partner Individual % Rating,None, , , , , , , , , ,104, 
Deferreds,f_SDPOSTMEMB,Female Member's Spouse/Partner Individual % Rating,None, , , , , , , , , ,105, 
Deferreds,COMMULT,Cash Multiple,None, , , , , , , , , ,106, 
Deferreds,COMPER,Cash Percentage,None, , , , , , , , , ,107, 
Deferreds,DATACASHCAP,Cash Cap Amount,Age Dependent, , , , ,m_NRA,f_NRA,REVCASHCAP,0,REVCASHCAP,108, 
Deferreds,COTDATA,Cash Data Field,Age Dependent, , , , ,m_NRA,f_NRA,REVN,0,REVN,109, 
Deferreds,COMMULT2,Cash Multiple,None, , , , , , , , , ,110, 
Deferreds,COMPER2,Cash Percentage,None, , , , , , , , , ,111, 
Deferreds,DCONTS1,Conts Data Item,Interest, , , , , , , , ,iDCONTS1,112, 
Deferreds,DCONTS2,Plus Conts Data Item,Interest, , , , , , , , ,iDCONTS2,113, 
Deferreds,DATADBR1,PUP Amount,Age Dependent, , , , ,m_NRA,f_NRA,REVDBR1,0,REVDBR1,114, 
Deferreds,DATADBR2,PUP Amount,Age Dependent, , , , ,m_NRA,f_NRA,REVDBR2,0,REVDBR2,115, 
Deferreds,DATADAR1,PUP Amount,Age Dependent, , ,INCIND,INCDAT,m_NRA,f_NRA,REVDAR1,DYNDAR1,REVDAR1,116, 
Deferreds,DATADAR2,PUP Amount,Age Dependent, , ,INCIND,INCDAT,m_NRA,f_NRA,REVDAR2,DYNDAR2,REVDAR2,117, 
Deferreds,PUP,PUP Amount,Excess over GMP, , ,INCIND,INCDAT,m_NRA,f_NRA,INDREV,DYNIND,INDREV,118,"GMP according to Pre/Post 88 Dynamism, Revaln use NRA Exits Rounding"
Deferreds,INDWARFRAC,Spouses DAR Override,None, , , , , , , , , ,119, 
Deferreds,INDDBRFRAC,Override % for DBR Pension,None, , , , , , , , , ,120, 
Deferreds,IndPUP,PUP Amount,Age Dependent, , ,INCIND,INCDAT,m_NRA,f_NRA,IndINDREV,IndDYNIND,IndINDREV,121,Much more complicated than this
Deferreds,m_IndPayStart[;],Male Payment Start Age,None, , , , , , , , , ,122, 
Deferreds,f_IndPayStart[;],Female Payment Start Age,None, , , , , , , , , ,123, 
Deferreds,m_IndPayEnd[;],Male Payment End Age,None, , , , , , , , , ,124, 
Deferreds,f_IndPayEnd[;],Female Payment End Age,None, , , , , , , , , ,125, 
Pensioners,TotPreR,Pre 1988 Total Pseudo Amounts at Retirement,None, , , , , , , , , ,126, 
Pensioners,TotPreV,Pre 1988 Total Pseudo Amounts at Valuation Date,If Not Fixed, , ,INCIND,INCDAT,65,60,GMPREV1,0,GMPREV1,127, 
Pensioners,TotPostR,Post 1988 Total Pseudo Amounts at Retirement,None, , , , , , , , , ,128, 
Pensioners,TotPostV,Post 1988 Total Pseudo Amounts at Valuation Date,If Not Fixed, , ,INCIND,INCDAT,65,60,GMPREV1,0,GMPREV1,129, 
Pensioners,m_DPOSTMEMB,Male Member Individual % Rating,None, , , , , , , , , ,130, 
Pensioners,f_DPOSTMEMB,Female Member Individual % Rating,None, , , , , , , , , ,131, 
Pensioners,m_SDPOSTMEMB,Male Member's Spouse/Partner Individual % Rating,None, , , , , , , , , ,132, 
Pensioners,f_SDPOSTMEMB,Female Member's Spouse/Partner Individual % Rating,None, , , , , , , , , ,133, 
Pensioners,PENDATA,Pension Amount,Age Dependent, , ,INCIND,INCDAT,BAGE,BAGE,DEFINC,PAYINC,PAYINC,134,BAGE can be a Data Item!
Pensioners,SPENDATA,Spouse's Pension Amount,Age Dependent, , ,INCIND,INCDAT,BAGE,BAGE,DEFINC,PAYINC,PAYINC,135,BAGE can be a Data Item!
Pensioners,BAGE ,Benefit Commencing at Age,None, , , , , , , , , ,136, 
Pensioners,EAGE ,Pension Ceasing at Age,None, , , , , , , , , ,137, 
Pensioners,RETPUP ,Pension at Retirement,None, , , , , , , , , ,138, 
Pensioners,PreRET,Pre 1988 Included at Retirement,None, , , , , , , , , ,139, 
Pensioners,PostRET,Post 1988 Included at Retirement,None, , , , , , , , , ,140, 
Pensioners,PreVD,Pre 1988 Included at Valuation Date,If Not Fixed, , ,INCIND,INCDAT,65,60,GMPREV1,0,GMPREV1,141, 
Pensioners,PostVD,Post 1988 Included at Valuation Date,If Not Fixed, , ,INCIND,INCDAT,65,60,GMPREV1,0,GMPREV1,142, 
